"subject","stimuli","item","list","speaker_group","response_identification","response_certainty","correct","listener_group","geq_ger_each","geq_viet_each","MISS_hybr_mean","MISS_alt_mean"
"13427399","2_G_Male_D.mp3",2,"list_13","monocultural german","vietdeutsch",2,0,"monocultural german",4,0,0,0
"13427399","14_VG_Male_C.mp3",14,"list_13","bicultural viet-german","vietdeutsch",3,1,"monocultural german",4,0,0,0
"13427399","7_VG_Fem_C.mp3",7,"list_13","bicultural viet-german","deutsch",5,0,"monocultural german",4,0,0,0
"13427399","30_G_Male_A.mp3",30,"list_13","monocultural german","deutsch",4,1,"monocultural german",4,0,0,0
"13427399","53_VG_Fem_B.mp3",53,"list_13","bicultural viet-german","vietdeutsch",5,1,"monocultural german",4,0,0,0
"13427399","45_G_Fem_A.mp3",45,"list_13","monocultural german","deutsch",4,1,"monocultural german",4,0,0,0
"13427399","8_VG_Fem_B.mp3",8,"list_13","bicultural viet-german","vietdeutsch",5,1,"monocultural german",4,0,0,0
"13427399","52_VG_Fem_C.mp3",52,"list_13","bicultural viet-german","deutsch",4,0,"monocultural german",4,0,0,0
"13427399","6_VG_Fem_D.mp3",6,"list_13","bicultural viet-german","deutsch",5,0,"monocultural german",4,0,0,0
"13427399","61_G_Fem_D.mp3",61,"list_13","monocultural german","deutsch",4,1,"monocultural german",4,0,0,0
"13427399","37_VG_Fem_A.mp3",37,"list_13","bicultural viet-german","vietdeutsch",3,1,"monocultural german",4,0,0,0
"13427399","5_G_Male_A.mp3",5,"list_13","monocultural german","deutsch",4,1,"monocultural german",4,0,0,0
"13427399","35_VG_Fem_B.mp3",35,"list_13","bicultural viet-german","vietdeutsch",3,1,"monocultural german",4,0,0,0
"13427399","56_VG_Male_C.mp3",56,"list_13","bicultural viet-german","vietdeutsch",3,1,"monocultural german",4,0,0,0
"13427399","40_VG_Male_B.mp3",40,"list_13","bicultural viet-german","deutsch",2,0,"monocultural german",4,0,0,0
"13427399","22_G_Fem_C.mp3",22,"list_13","monocultural german","deutsch",5,1,"monocultural german",4,0,0,0
"13427399","38_VG_Male_D.mp3",38,"list_13","bicultural viet-german","vietdeutsch",1,1,"monocultural german",4,0,0,0
"13427399","16_VG_Male_A.mp3",16,"list_13","bicultural viet-german","vietdeutsch",4,1,"monocultural german",4,0,0,0
"13427399","39_VG_Male_C.mp3",39,"list_13","bicultural viet-german","deutsch",2,0,"monocultural german",4,0,0,0
"13427399","3_G_Male_C.mp3",3,"list_13","monocultural german","deutsch",3,1,"monocultural german",4,0,0,0
"13427399","57_VG_Male_B.mp3",57,"list_13","bicultural viet-german","vietdeutsch",2,1,"monocultural german",4,0,0,0
"13427399","44_G_Fem_B.mp3",44,"list_13","monocultural german","deutsch",2,1,"monocultural german",4,0,0,0
"13427399","41_VG_Male_A.mp3",41,"list_13","bicultural viet-german","vietdeutsch",2,1,"monocultural german",4,0,0,0
"13427399","29_G_Male_B.mp3",29,"list_13","monocultural german","deutsch",3,1,"monocultural german",4,0,0,0
"13427399","23_G_Fem_B.mp3",23,"list_13","monocultural german","vietdeutsch",2,0,"monocultural german",4,0,0,0
