"subject","stimuli","item","list","speaker_group","response_identification","response_certainty","correct","listener_group","geq_ger_each","geq_viet_each","MISS_hybr_mean","MISS_alt_mean"
13448131,"49_G_Male_A.mp3",49,"list_12","monocultural german","deutsch",3,1,"monocultural german",3.35,,,
13448131,"7_VG_Fem_B.mp3",7,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"33_VG_Fem_B.mp3",33,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"47_G_Male_C.mp3",47,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"35_VG_Fem_A.mp3",35,"list_12","bicultural viet-german","deutsch",2,0,"monocultural german",3.35,,,
13448131,"18_G_Fem_C.mp3",18,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"55_VG_Male_C.mp3",55,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"42_G_Fem_C.mp3",42,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"57_VG_Male_A.mp3",57,"list_12","bicultural viet-german","deutsch",2,0,"monocultural german",3.35,,,
13448131,"61_G_Fem_C.mp3",61,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"45_G_Male_D.mp3",45,"list_12","monocultural german","deutsch",3,1,"monocultural german",3.35,,,
13448131,"48_G_Male_B.mp3",48,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"38_VG_Male_C.mp3",38,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"15_VG_Male_A.mp3",15,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"31_VG_Fem_C.mp3",31,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"39_VG_Male_B.mp3",39,"list_12","bicultural viet-german","deutsch",2,0,"monocultural german",3.35,,,
13448131,"30_VG_Fem_D.mp3",30,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"26_G_Male_D.mp3",26,"list_12","monocultural german","deutsch",3,1,"monocultural german",3.35,,,
13448131,"6_VG_Fem_C.mp3",6,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"5_VG_Fem_D.mp3",5,"list_12","bicultural viet-german","deutsch",2,0,"monocultural german",3.35,,,
13448131,"10_VG_Male_D.mp3",10,"list_12","bicultural viet-german","deutsch",3,0,"monocultural german",3.35,,,
13448131,"62_G_Fem_B.mp3",62,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"23_G_Fem_A.mp3",23,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"1_G_Male_D.mp3",1,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"44_G_Fem_A.mp3",44,"list_12","monocultural german","vietdeutsch",2,0,"monocultural german",3.35,,,
13448131,"52_VG_Fem_B.mp3",52,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"22_G_Fem_B.mp3",22,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"51_VG_Fem_C.mp3",51,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"50_VG_Fem_D.mp3",50,"list_12","bicultural viet-german","deutsch",2,0,"monocultural german",3.35,,,
13448131,"16_G_Fem_D.mp3",16,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"29_G_Male_A.mp3",29,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"59_G_Fem_D.mp3",59,"list_12","monocultural german","vietdeutsch",2,0,"monocultural german",3.35,,,
13448131,"11_VG_Male_C.mp3",11,"list_12","bicultural viet-german","deutsch",3,0,"monocultural german",3.35,,,
13448131,"41_G_Fem_D.mp3",41,"list_12","monocultural german","vietdeutsch",2,0,"monocultural german",3.35,,,
13448131,"40_VG_Male_A.mp3",40,"list_12","bicultural viet-german","deutsch",3,0,"monocultural german",3.35,,,
13448131,"2_G_Male_C.mp3",2,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"56_VG_Male_B.mp3",56,"list_12","bicultural viet-german","vietdeutsch",2,1,"monocultural german",3.35,,,
13448131,"8_VG_Fem_A.mp3",8,"list_12","bicultural viet-german","deutsch",3,0,"monocultural german",3.35,,,
13448131,"63_G_Fem_A.mp3",63,"list_12","monocultural german","deutsch",3,1,"monocultural german",3.35,,,
13448131,"14_VG_Male_B.mp3",14,"list_12","bicultural viet-german","vietdeutsch",3,1,"monocultural german",3.35,,,
13448131,"43_G_Fem_B.mp3",43,"list_12","monocultural german","deutsch",2,1,"monocultural german",3.35,,,
13448131,"54_VG_Male_D.mp3",54,"list_12","bicultural viet-german","deutsch",2,0,"monocultural german",3.35,,,
13448131,"27_G_Male_C.mp3",27,"list_12","monocultural german","deutsch",3,1,"monocultural german",3.35,,,
13448131,"4_G_Male_A.mp3",4,"list_12","monocultural german","deutsch",3,1,"monocultural german",3.35,,,
13448131,"3_G_Male_B.mp3",3,"list_12","monocultural german","deutsch",3,1,"monocultural german",3.35,,,
13448131,"37_VG_Male_D.mp3",37,"list_12","bicultural viet-german","deutsch",2,0,"monocultural german",3.35,,,
13448131,"53_VG_Fem_A.mp3",53,"list_12","bicultural viet-german","deutsch",3,0,"monocultural german",3.35,,,
13448131,"28_G_Male_B.mp3",28,"list_12","monocultural german","deutsch",3,1,"monocultural german",3.35,,,
13451398,"29_G_Fem_A.mp3",29,"list_16","monocultural german","deutsch",2,1,"monocultural german",2.58,,,
