"ppt_id","group_c","test_c","triplet_id","pair_type_c","acc","RT_acc"
"237A",-0.5,-0.5,23,0.5,1,2246.49999997616
"237A",-0.5,-0.5,7,-0.5,1,3483.19999992847
"237A",-0.5,-0.5,3,-0.5,1,3065.89999997616
"237A",-0.5,-0.5,4,-0.5,0,NA
"237A",-0.5,-0.5,25,0.5,1,1890.7
"237A",-0.5,-0.5,9,-0.5,1,2504.69999992847
"237A",-0.5,-0.5,20,0.5,1,2027.7
"237A",-0.5,-0.5,21,0.5,1,1497.59999992847
"237A",-0.5,-0.5,1,-0.5,0,NA
"237A",-0.5,-0.5,26,0.5,1,2206.09999995232
"237A",-0.5,-0.5,19,0.5,1,2167.69999992847
"237A",-0.5,-0.5,5,-0.5,0,NA
"237A",-0.5,-0.5,27,0.5,1,1458.90000002384
"237A",-0.5,-0.5,6,-0.5,1,2085.00000002384
"237A",-0.5,-0.5,8,-0.5,1,2709.39999997616
"237A",-0.5,-0.5,2,-0.5,1,4107.79999992848
"237A",-0.5,-0.5,22,0.5,1,3474.09999997616
"237A",-0.5,-0.5,24,0.5,1,2271.7
"240D",-0.5,-0.5,3,-0.5,1,8468.70000000001
"240D",-0.5,-0.5,25,0.5,1,2324.09999997616
"240D",-0.5,-0.5,19,0.5,1,1217.19999992847
"240D",-0.5,-0.5,5,-0.5,1,4890.59999999999
"240D",-0.5,-0.5,7,-0.5,0,NA
"240D",-0.5,-0.5,24,0.5,1,1445.99999997616
"240D",-0.5,-0.5,2,-0.5,0,NA
"240D",-0.5,-0.5,1,-0.5,0,NA
"240D",-0.5,-0.5,9,-0.5,1,2195.70000002385
"240D",-0.5,-0.5,20,0.5,1,1768.69999997615
"240D",-0.5,-0.5,21,0.5,1,1137.79999995232
"240D",-0.5,-0.5,4,-0.5,1,2135.70000000001
"240D",-0.5,-0.5,6,-0.5,0,NA
"240D",-0.5,-0.5,23,0.5,1,1602.50000002384
"240D",-0.5,-0.5,27,0.5,1,1359.49999999997
"240D",-0.5,-0.5,22,0.5,1,1718.70000000001
"240D",-0.5,-0.5,8,-0.5,1,1437.49999999997
"240D",-0.5,-0.5,26,0.5,1,1194.39999997616
"432B",-0.5,-0.5,2,-0.5,0,NA
"432B",-0.5,-0.5,27,0.5,1,1632
"432B",-0.5,-0.5,26,0.5,1,1210.29999998808
"432B",-0.5,-0.5,7,-0.5,1,1289.70000002385
"432B",-0.5,-0.5,1,-0.5,0,NA
"432B",-0.5,-0.5,21,0.5,1,1409.09999998807
"432B",-0.5,-0.5,3,-0.5,1,1438.70000003575
"432B",-0.5,-0.5,8,-0.5,1,1539.60000002384
"432B",-0.5,-0.5,6,-0.5,1,1731.90000000002
"432B",-0.5,-0.5,25,0.5,1,1537.90000001193
"432B",-0.5,-0.5,23,0.5,1,1339.20000001192
"432B",-0.5,-0.5,24,0.5,1,1133.09999999998
"432B",-0.5,-0.5,9,-0.5,1,1155.60000000001
"432B",-0.5,-0.5,22,0.5,1,1321.39999998809
"432B",-0.5,-0.5,20,0.5,1,1295.40000003576
"432B",-0.5,-0.5,4,-0.5,1,1776.79999999999
"432B",-0.5,-0.5,5,-0.5,1,1376.69999998808
"432B",-0.5,-0.5,19,0.5,0,NA
"243A",-0.5,-0.5,21,0.5,1,2171.89999999999
"243A",-0.5,-0.5,2,-0.5,1,1754.59999999404
"243A",-0.5,-0.5,4,-0.5,0,NA
"243A",-0.5,-0.5,25,0.5,1,2389.39999999999
"243A",-0.5,-0.5,6,-0.5,1,2390.59999999999
"243A",-0.5,-0.5,8,-0.5,1,2265.60000000001
"243A",-0.5,-0.5,5,-0.5,1,1999.89999999999
"243A",-0.5,-0.5,9,-0.5,1,2339.89999999703
"243A",-0.5,-0.5,3,-0.5,1,1453.00000000001
"243A",-0.5,-0.5,7,-0.5,1,2125
"243A",-0.5,-0.5,26,0.5,1,1370.00000000298
"243A",-0.5,-0.5,20,0.5,1,3062.7
"243A",-0.5,-0.5,24,0.5,1,1404.59999999404
"243A",-0.5,-0.5,1,-0.5,1,2546.90000000002
"243A",-0.5,-0.5,27,0.5,1,1058.39999999703
"243A",-0.5,-0.5,23,0.5,1,1046.59999999404
"243A",-0.5,-0.5,19,0.5,1,1484.29999999999
"243A",-0.5,-0.5,22,0.5,1,2202.89999999999
"503C",-0.5,-0.5,9,-0.5,0,NA
"503C",-0.5,-0.5,2,-0.5,1,1957.60000000028
"503C",-0.5,-0.5,25,0.5,1,1155.3
"503C",-0.5,-0.5,20,0.5,1,1099.90000000001
"503C",-0.5,-0.5,27,0.5,1,1474.10000000018
"503C",-0.5,-0.5,21,0.5,1,1086.10000000001
"503C",-0.5,-0.5,6,-0.5,1,2332.70000000019
"503C",-0.5,-0.5,7,-0.5,0,NA
"503C",-0.5,-0.5,1,-0.5,1,1774.50000000019
"503C",-0.5,-0.5,19,0.5,1,1869.49999999991
"503C",-0.5,-0.5,23,0.5,1,1204.70000000027
"503C",-0.5,-0.5,22,0.5,1,2353.70000000001
"503C",-0.5,-0.5,3,-0.5,1,1571.60000000027
"503C",-0.5,-0.5,4,-0.5,1,1844.20000000027
"503C",-0.5,-0.5,24,0.5,1,974.700000000012
"503C",-0.5,-0.5,8,-0.5,1,3226.60000000001
"503C",-0.5,-0.5,26,0.5,1,1375.20000000019
"503C",-0.5,-0.5,5,-0.5,1,3131.20000000019
"506F",-0.5,-0.5,2,-0.5,0,NA
"506F",-0.5,-0.5,4,-0.5,1,3262.40000000149
"506F",-0.5,-0.5,9,-0.5,1,2731.8
"506F",-0.5,-0.5,23,0.5,1,1283.70000000074
"506F",-0.5,-0.5,22,0.5,1,1370.89999999999
"506F",-0.5,-0.5,19,0.5,1,1403.10000000075
"506F",-0.5,-0.5,26,0.5,1,1179.10000000111
"506F",-0.5,-0.5,24,0.5,1,1261.30000000037
"506F",-0.5,-0.5,27,0.5,1,1720.2
"506F",-0.5,-0.5,7,-0.5,0,NA
"506F",-0.5,-0.5,1,-0.5,1,2346.70000000037
"506F",-0.5,-0.5,6,-0.5,1,2247.20000000074
"506F",-0.5,-0.5,5,-0.5,1,1720.60000000037
"506F",-0.5,-0.5,8,-0.5,0,NA
"506F",-0.5,-0.5,3,-0.5,1,2207.8
"506F",-0.5,-0.5,25,0.5,1,1475
"506F",-0.5,-0.5,21,0.5,1,1339.00000000111
"506F",-0.5,-0.5,20,0.5,1,2127.30000000075
"440D",-0.5,-0.5,1,-0.5,0,NA
