"effect","group","term","estimate","std.error","statistic","p.value"
"fixed",NA,"(Intercept)",1.47,0.08,17.44,0
"fixed",NA,"grp",0.2,0.13,1.48,0.139
"fixed",NA,"tst",-1.29,0.09,-14.04,0
"fixed",NA,"typ",1.72,0.1,16.79,0
"fixed",NA,"grp:tst",-0.52,0.18,-2.95,0.003
"fixed",NA,"grp:typ",-0.46,0.14,-3.23,0.001
"fixed",NA,"tst:typ",-1.61,0.18,-9.06,0
"fixed",NA,"grp:tst:typ",-0.15,0.26,-0.56,0.575
"ran_pars","Subj","sd__(Intercept)",0.98,NA,NA,NA
"ran_pars","Subj","cor__(Intercept).tst",-0.83,NA,NA,NA
"ran_pars","Subj","cor__(Intercept).typ",0.83,NA,NA,NA
"ran_pars","Subj","cor__(Intercept).tst:typ",-0.72,NA,NA,NA
"ran_pars","Subj","sd__tst",1.03,NA,NA,NA
"ran_pars","Subj","cor__tst.typ",-0.85,NA,NA,NA
"ran_pars","Subj","cor__tst.tst:typ",0.88,NA,NA,NA
"ran_pars","Subj","sd__typ",0.72,NA,NA,NA
"ran_pars","Subj","cor__typ.tst:typ",-0.86,NA,NA,NA
"ran_pars","Subj","sd__tst:typ",1.01,NA,NA,NA
"ran_pars","Item","sd__(Intercept)",0.34,NA,NA,NA
"ran_pars","Item.1","sd__grp",0.26,NA,NA,NA
"ran_pars","Item.2","sd__tst",0.23,NA,NA,NA
"ran_pars","Item.3","sd__typ",0.44,NA,NA,NA
"ran_pars","Item.4","sd__grp:tst",0.3,NA,NA,NA
"ran_pars","Item.5","sd__tst:typ",0.73,NA,NA,NA
