"","subject_number","condition","phase","trialnumber","sound","dur_in_s","pert_direction"
"1","01","Coda","B",6,"u",0.122589,"stretched"
"2","01","Coda","B",6,"s",0.229335,"compressed"
"3","01","Coda","B",7,"u",0.111896,"stretched"
"4","01","Coda","B",7,"s",0.170233,"compressed"
"5","01","Coda","B",8,"u",0.142131,"stretched"
"6","01","Coda","B",8,"s",0.195871,"compressed"
"7","01","Coda","B",9,"u",0.123783,"stretched"
"8","01","Coda","B",9,"s",0.176815,"compressed"
"9","01","Coda","B",10,"u",0.099658,"stretched"
"10","01","Coda","B",10,"s",0.1852,"compressed"
"11","01","Coda","B",11,"u",0.113142,"stretched"
"12","01","Coda","B",11,"s",0.174158,"compressed"
"13","01","Coda","B",12,"u",0.097477,"stretched"
"14","01","Coda","B",12,"s",0.219894,"compressed"
"15","01","Coda","B",13,"u",0.109668,"stretched"
"16","01","Coda","B",13,"s",0.185632,"compressed"
"17","01","Coda","B",14,"u",0.109182,"stretched"
"18","01","Coda","B",14,"s",0.229007,"compressed"
"19","01","Coda","B",15,"u",0.10422,"stretched"
"20","01","Coda","B",15,"s",0.1771,"compressed"
"21","01","Coda","B",16,"u",0.0858190000000001,"stretched"
"22","01","Coda","B",16,"s",0.206906,"compressed"
"23","01","Coda","B",17,"u",0.0998239999999999,"stretched"
"24","01","Coda","B",17,"s",0.2322,"compressed"
"25","01","Coda","B",18,"u",0.0808,"stretched"
"26","01","Coda","B",18,"s",0.2144,"compressed"
"27","01","Coda","B",19,"u",0.105169,"stretched"
"28","01","Coda","B",19,"s",0.189397,"compressed"
"29","01","Coda","B",20,"u",0.11123,"stretched"
"30","01","Coda","B",20,"s",0.198337,"compressed"
"31","01","Coda","B",21,"u",0.122069,"stretched"
"32","01","Coda","B",21,"s",0.205231,"compressed"
"33","01","Coda","B",22,"u",0.0929550000000001,"stretched"
"34","01","Coda","B",22,"s",0.186716,"compressed"
"35","01","Coda","B",23,"u",0.102611,"stretched"
"36","01","Coda","B",23,"s",0.185825,"compressed"
"37","01","Coda","B",24,"u",0.095205,"stretched"
"38","01","Coda","B",24,"s",0.1971,"compressed"
"39","01","Coda","B",25,"u",0.086641,"stretched"
"40","01","Coda","B",25,"s",0.1851,"compressed"
"41","01","Coda","R",27,"u",0.117008,"stretched"
"42","01","Coda","R",27,"s",0.193593,"compressed"
"43","01","Coda","R",28,"u",0.113744,"stretched"
"44","01","Coda","R",28,"s",0.213456,"compressed"
"45","01","Coda","R",29,"u",0.127674,"stretched"
"46","01","Coda","R",29,"s",0.228142,"compressed"
"47","01","Coda","R",30,"u",0.105338,"stretched"
"48","01","Coda","R",30,"s",0.2171,"compressed"
"49","01","Coda","R",31,"u",0.118265,"stretched"
"50","01","Coda","R",31,"s",0.19402,"compressed"
"51","01","Coda","R",32,"u",0.115463,"stretched"
"52","01","Coda","R",32,"s",0.205612,"compressed"
"53","01","Coda","R",33,"u",0.124574,"stretched"
"54","01","Coda","R",33,"s",0.186726,"compressed"
"55","01","Coda","R",34,"u",0.109143,"stretched"
"56","01","Coda","R",34,"s",0.218157,"compressed"
"57","01","Coda","R",35,"u",0.11398,"stretched"
"58","01","Coda","R",35,"s",0.201279,"compressed"
"59","01","Coda","R",36,"u",0.123976,"stretched"
"60","01","Coda","R",36,"s",0.197105,"compressed"
"61","01","Coda","R",37,"u",0.113778,"stretched"
"62","01","Coda","R",37,"s",0.2091,"compressed"
"63","01","Coda","R",38,"u",0.114183,"stretched"
"64","01","Coda","R",38,"s",0.216322,"compressed"
"65","01","Coda","R",39,"u",0.112981,"stretched"
"66","01","Coda","R",39,"s",0.230319,"compressed"
"67","01","Coda","R",40,"u",0.107434,"stretched"
"68","01","Coda","R",40,"s",0.223485,"compressed"
"69","01","Coda","R",41,"u",0.129574,"stretched"
"70","01","Coda","R",41,"s",0.211336,"compressed"
"71","01","Coda","R",42,"u",0.081156,"stretched"
"72","01","Coda","R",42,"s",0.23361,"compressed"
"73","01","Coda","R",43,"u",0.107535,"stretched"
"74","01","Coda","R",43,"s",0.192332,"compressed"
"75","01","Coda","R",44,"u",0.131825,"stretched"
"76","01","Coda","R",44,"s",0.244232,"compressed"
"77","01","Coda","R",45,"u",0.116242,"stretched"
"78","01","Coda","R",45,"s",0.211058,"compressed"
"79","01","Coda","H",46,"u",0.0984360000000002,"stretched"
"80","01","Coda","H",46,"s",0.226426,"compressed"
"81","01","Coda","H",47,"u",0.10872,"stretched"
"82","01","Coda","H",47,"s",0.212495,"compressed"
"83","01","Coda","H",48,"u",0.111797,"stretched"
"84","01","Coda","H",48,"s",0.215503,"compressed"
"85","01","Coda","H",49,"u",0.112935,"stretched"
"86","01","Coda","H",49,"s",0.227765,"compressed"
"87","01","Coda","H",50,"u",0.100073,"stretched"
"88","01","Coda","H",50,"s",0.234999,"compressed"
"89","01","Coda","H",51,"u",0.114437,"stretched"
"90","01","Coda","H",51,"s",0.245943,"compressed"
