order,item,label,subject,gender,age,list,score,evade,remnant,z_score
1,11128,eva_nonwh,2,male,18-25,2,3,eva,nonwh,-0.69224971
2,11107,eva_wh,2,male,18-25,2,3,eva,wh,-0.69224971
3,11139,eva_wh,2,male,18-25,2,3,eva,wh,-0.69224971
4,11129,iso_wh,2,male,18-25,2,3,iso,wh,-0.69224971
5,11134,iso_nonwh,2,male,18-25,2,3,iso,nonwh,-0.69224971
6,11113,iso_wh,2,male,18-25,2,3,iso,wh,-0.69224971
7,11145,iso_wh,2,male,18-25,2,4,iso,wh,-0.251751183
8,11144,eva_nonwh,2,male,18-25,2,3,eva,nonwh,-0.69224971
9,11102,iso_nonwh,2,male,18-25,2,4,iso,nonwh,-0.251751183
10,11112,eva_nonwh,2,male,18-25,2,3,eva,nonwh,-0.69224971
11,11118,iso_nonwh,2,male,18-25,2,6,iso,nonwh,0.629245873
12,11123,eva_wh,2,male,18-25,2,3,eva,wh,-0.69224971
13,11120,eva_nonwh,3,male,18-25,4,4,eva,nonwh,-0.251751183
14,11137,iso_wh,3,male,18-25,4,6,iso,wh,0.629245873
15,11121,iso_wh,3,male,18-25,4,3,iso,wh,-0.69224971
16,11142,iso_nonwh,3,male,18-25,4,3,iso,nonwh,-0.69224971
17,11110,iso_nonwh,3,male,18-25,4,3,iso,nonwh,-0.69224971
18,11126,iso_nonwh,3,male,18-25,4,2,iso,nonwh,-1.132748238
19,11147,eva_wh,3,male,18-25,4,7,eva,wh,1.0697444
20,11115,eva_wh,3,male,18-25,4,6,eva,wh,0.629245873
21,11105,iso_wh,3,male,18-25,4,4,iso,wh,-0.251751183
22,11104,eva_nonwh,3,male,18-25,4,1,eva,nonwh,-1.573246765
23,11136,eva_nonwh,3,male,18-25,4,5,eva,nonwh,0.188747345
24,11131,eva_wh,3,male,18-25,4,5,eva,wh,0.188747345
25,11128,eva_nonwh,4,female,18-25,2,7,eva,nonwh,1.0697444
26,11107,eva_wh,4,female,18-25,2,7,eva,wh,1.0697444
27,11139,eva_wh,4,female,18-25,2,7,eva,wh,1.0697444
28,11129,iso_wh,4,female,18-25,2,7,iso,wh,1.0697444
29,11134,iso_nonwh,4,female,18-25,2,7,iso,nonwh,1.0697444
30,11113,iso_wh,4,female,18-25,2,7,iso,wh,1.0697444
31,11145,iso_wh,4,female,18-25,2,7,iso,wh,1.0697444
32,11144,eva_nonwh,4,female,18-25,2,6,eva,nonwh,0.629245873
33,11102,iso_nonwh,4,female,18-25,2,7,iso,nonwh,1.0697444
34,11112,eva_nonwh,4,female,18-25,2,7,eva,nonwh,1.0697444
35,11118,iso_nonwh,4,female,18-25,2,7,iso,nonwh,1.0697444
36,11123,eva_wh,4,female,18-25,2,7,eva,wh,1.0697444
37,11120,eva_nonwh,5,female,18-25,4,2,eva,nonwh,-1.132748238
38,11137,iso_wh,5,female,18-25,4,6,iso,wh,0.629245873
39,11121,iso_wh,5,female,18-25,4,6,iso,wh,0.629245873
40,11142,iso_nonwh,5,female,18-25,4,7,iso,nonwh,1.0697444
41,11110,iso_nonwh,5,female,18-25,4,5,iso,nonwh,0.188747345
42,11126,iso_nonwh,5,female,18-25,4,5,iso,nonwh,0.188747345
43,11147,eva_wh,5,female,18-25,4,6,eva,wh,0.629245873
44,11115,eva_wh,5,female,18-25,4,6,eva,wh,0.629245873
45,11105,iso_wh,5,female,18-25,4,4,iso,wh,-0.251751183
46,11104,eva_nonwh,5,female,18-25,4,5,eva,nonwh,0.188747345
47,11136,eva_nonwh,5,female,18-25,4,4,eva,nonwh,-0.251751183
48,11131,eva_wh,5,female,18-25,4,6,eva,wh,0.629245873
49,11120,eva_nonwh,6,female,18-25,4,7,eva,nonwh,1.0697444
50,11137,iso_wh,6,female,18-25,4,6,iso,wh,0.629245873
51,11121,iso_wh,6,female,18-25,4,7,iso,wh,1.0697444
52,11142,iso_nonwh,6,female,18-25,4,6,iso,nonwh,0.629245873
53,11110,iso_nonwh,6,female,18-25,4,6,iso,nonwh,0.629245873
54,11126,iso_nonwh,6,female,18-25,4,5,iso,nonwh,0.188747345
55,11147,eva_wh,6,female,18-25,4,7,eva,wh,1.0697444
56,11115,eva_wh,6,female,18-25,4,7,eva,wh,1.0697444
57,11105,iso_wh,6,female,18-25,4,7,iso,wh,1.0697444
