"participant","modality","ortho_French","inversed_aline","lev_similarity","type","first_modality","list","RT"
1,"A","abeille",0.769230769230769,0.429,"noncognate","V",1,586.950570474862
1,"V","abeille",0.769230769230769,0.429,"noncognate","V",1,578.087899684926
1,"A","acteur",0.7659574,0.667,"cognate","V",1,1145.22570977062
1,"V","acteur",0.7659574,0.667,"cognate","V",1,730.723893763462
1,"A","adresse",0.7703704,0.714,"cognate","V",1,985.857351252315
1,"V","adresse",0.7703704,0.714,"cognate","V",1,602.600048231178
1,"A","aéroport",0.5428571,0.75,"cognate","V",1,535.822599690745
1,"V","aéroport",0.5428571,0.75,"cognate","V",1,549.382224004617
1,"A","ancêtre",0.54375,0.5,"cognate","V",1,985.905486352177
1,"V","ancêtre",0.54375,0.5,"cognate","V",1,583.589154271347
1,"A","anneau",0.426666666666667,0.167,"noncognate","V",1,533.253252876617
1,"V","anneau",0.426666666666667,0.167,"noncognate","V",1,936.198458458586
1,"A","arbre",0.253658536585366,0.4,"noncognate","V",1,1357.87308189736
1,"V","arbre",0.253658536585366,0.4,"noncognate","V",1,742.304504623951
1,"A","assiette",0.592,0.25,"noncognate","V",1,493.030270007624
1,"V","assiette",0.592,0.25,"noncognate","V",1,743.711953182975
1,"A","attaque",0.95,0.571,"cognate","V",1,754.201782716733
1,"V","attaque",0.95,0.571,"cognate","V",1,613.608860216535
1,"A","avance",0.637037,0.857,"cognate","V",1,1208.22035120738
1,"V","avance",0.637037,0.857,"cognate","V",1,884.122840193276
1,"A","avenir",0.407547169811321,0,"noncognate","V",1,555.636122254812
1,"V","avenir",0.407547169811321,0,"noncognate","V",1,635.423655146952
1,"A","balcon",0.73125,0.857,"cognate","V",1,466.969884785598
1,"V","balcon",0.73125,0.857,"cognate","V",1,487.31818719394
1,"A","banlieue",0.336,0,"noncognate","V",1,1212.68774860693
1,"V","banlieue",0.336,0,"noncognate","V",1,1149.01901827265
1,"A","bateau",0.82,0.333,"noncognate","V",1,506.565330070544
1,"V","bateau",0.82,0.333,"noncognate","V",1,583.700606711546
1,"A","biscuit",0.84375,1,"cognate","V",1,763.947065465609
1,"V","biscuit",0.84375,1,"cognate","V",1,1477.86635554276
1,"A","blague",0.472727272727273,0.167,"noncognate","V",1,621.422309457681
1,"V","blague",0.472727272727273,0.167,"noncognate","V",1,740.46220622733
1,"A","blessure",0.34375,0.25,"noncognate","V",1,972.718406682182
1,"V","blessure",0.34375,0.25,"noncognate","V",1,804.664325690221
1,"A","bonbon",0.28,0,"noncognate","V",1,821.005809873887
1,"V","bonbon",0.28,0,"noncognate","V",1,731.630984864594
1,"A","bonheur",0.37,0.143,"noncognate","V",1,819.520413301887
1,"V","bonheur",0.37,0.143,"noncognate","V",1,512.544506158702
1,"A","bougie",0.313725490196078,0.167,"noncognate","V",1,780.896330918198
1,"V","bougie",0.313725490196078,0.167,"noncognate","V",1,769.517072398284
1,"A","branche",0.5890909,0.857,"cognate","V",1,885.645358491595
1,"V","branche",0.5890909,0.857,"cognate","V",1,645.145998048843
1,"A","bruit",0.44,0,"noncognate","V",1,1085.07261974969
1,"V","bruit",0.44,0,"noncognate","V",1,1067.82827406081
1,"A","carnet",0.29375,0,"noncognate","V",1,1300.58655758664
1,"V","carnet",0.29375,0,"noncognate","V",1,1219.72648116978
1,"A","cendre",0.364705882352941,0,"noncognate","V",1,812.442925018062
1,"V","cendre",0.364705882352941,0,"noncognate","V",1,616.671991976306
1,"A","centaine",0.373333333333333,0.125,"noncognate","V",1,618.089494724521
1,"V","centaine",0.373333333333333,0.125,"noncognate","V",1,1197.39587083442
1,"A","cerveau",0.259259259259259,0.143,"noncognate","V",1,1140.34678565657
1,"V","cerveau",0.259259259259259,0.143,"noncognate","V",1,728.841119511969
1,"A","chagrin",0.36078431372549,0.286,"noncognate","V",1,684.453158934856
1,"V","chagrin",0.36078431372549,0.286,"noncognate","V",1,1344.63457675127
1,"A","chanson",0.389189189189189,0.286,"noncognate","V",1,868.289850683893
1,"V","chanson",0.389189189189189,0.286,"noncognate","V",1,554.249876210084
1,"A","chemin",0.335135135135135,0,"noncognate","V",1,610.914709751958
1,"V","chemin",0.335135135135135,0,"noncognate","V",1,769.591692114327
1,"A","chéri",0.340425531914894,0.143,"noncognate","V",1,1146.11717092544
1,"V","chéri",0.340425531914894,0.143,"noncognate","V",1,1012.1993550282
1,"A","cheville",0.25531914893617,0.25,"noncognate","V",1,732.974546193412
1,"V","cheville",0.25531914893617,0.25,"noncognate","V",1,754.188704409319
1,"A","chiffre",0.13125,0,"noncognate","V",1,493.029900712718
1,"V","chiffre",0.13125,0,"noncognate","V",1,996.615140731712
1,"A","chômage",0.391208791208791,0.167,"noncognate","V",1,929.845180756466
1,"V","chômage",0.391208791208791,0.167,"noncognate","V",1,1253.56121432588
1,"A","coiffeur",0.365714285714286,0.273,"noncognate","V",1,561.388894003622
1,"V","coiffeur",0.365714285714286,0.273,"noncognate","V",1,684.911328991282
1,"A","colline",0.381818181818182,0.286,"noncognate","V",1,597.078986686819
1,"V","colline",0.381818181818182,0.286,"noncognate","V",1,962.006336105804
1,"A","concours",0.452941176470588,0.375,"noncognate","V",1,594.816495028086
1,"V","concours",0.452941176470588,0.375,"noncognate","V",1,538.046543626271
1,"A","couche",0.0606060606060606,0,"noncognate","V",1,957.854351239633
1,"V","couche",0.0606060606060606,0,"noncognate","V",1,639.727126744202
1,"A","couloir",0.434042553191489,0.143,"noncognate","V",1,783.69668490094
1,"V","couloir",0.434042553191489,0.143,"noncognate","V",1,972.699425321662
1,"A","crainte",0.227027027027027,0.143,"noncognate","V",1,902.896737568002
1,"V","crainte",0.227027027027027,0.143,"noncognate","V",1,757.617541233341
1,"A","criminel",0.8329412,0.875,"cognate","V",1,837.55127523883
1,"V","criminel",0.8329412,0.875,"cognate","V",1,1336.29231702509
1,"A","croyance",0.373333333333333,0,"noncognate","V",1,603.111039913719
1,"V","croyance",0.373333333333333,0,"noncognate","V",1,813.135166331663
1,"A","danger",0.656,1,"cognate","V",1,570.755463458063
1,"V","danger",0.656,1,"cognate","V",1,575.123313494116
1,"A","déchet",0.427906976744186,0.167,"noncognate","V",1,704.234483459045
1,"V","déchet",0.427906976744186,0.167,"noncognate","V",1,714.073001137442
1,"A","désastre",0.8512821,0.625,"cognate","V",1,862.136890651519
1,"V","désastre",0.8512821,0.625,"cognate","V",1,751.416864188143
1,"A","destin",0.7625,0.857,"cognate","V",1,587.273774648325
1,"V","destin",0.7625,0.857,"cognate","V",1,816.006278685529
1,"A","douleur",0.306382978723404,0,"noncognate","V",1,670.833124643131
1,"V","douleur",0.306382978723404,0,"noncognate","V",1,656.033107497224
1,"A","écart",0.426229508196721,0.125,"noncognate","V",1,563.206939547046
1,"V","écart",0.426229508196721,0.125,"noncognate","V",1,578.94290490381
1,"A","écriture",0.507462686567164,0.375,"noncognate","V",1,674.222381766677
1,"V","écriture",0.507462686567164,0.375,"noncognate","V",1,604.507949943682
1,"A","église",0.354545454545454,0,"noncognate","V",1,574.912989387296
1,"V","église",0.354545454545454,0,"noncognate","V",1,878.219282032512
1,"A","élection",0.7641791,0.875,"cognate","V",1,925.534765379065
1,"V","élection",0.7641791,0.875,"cognate","V",1,503.550803811273
1,"A","endroit",0.288,0,"noncognate","V",1,674.075553967785
1,"V","endroit",0.288,0,"noncognate","V",1,823.087390548316
1,"A","enfance",0.29375,0,"noncognate","V",1,1283.96900594341
1,"V","enfance",0.29375,0,"noncognate","V",1,902.961095542299
