exIdx	themeGiven	recipientGiven	themeDefinite	recipientDefinite	verbSense	themeAnimacy	recipientAnimacy	isDative	ableToTiebreak	verbLemma	themePronominal	recipientPronominal	themeLength	recipientLength	themeNumber	recipientNumber	structure	verbClass	recipientPerson	themePerson	previousStructure
525	Not Given	Given	Indefinite	Definite	Transfer Posession	Concrete	Organization	TRUE	TRUE	ferry	FALSE	FALSE	1	4	Sing	Sing	PP	?DRIVE	third	third	None
936	Not Given	Not Given	Definite	Definite	Abstract	Organization	Organization	TRUE	TRUE	sign	FALSE	FALSE	3	7	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
2153	Given	Given	Definite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	e-mail	TRUE	TRUE	1	2	Plur	Plur	PP	COMMUNICATION INSTRUMENT	first	third	None
8286	Not Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	float	FALSE	FALSE	2	17	Sing	Sing	PP	SLIDE	third	third	None
8896	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	fling	FALSE	FALSE	2	3	Sing	Sing	PP	THROWING	third	third	None
11826	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	allocate	FALSE	FALSE	5	14	Sing	Plur	PP	FUTURE HAVING	third	third	None
13440	Not Given	Not Given	Indefinite	Definite	Abstract	NotConcrete	Mix	TRUE	TRUE	pay	FALSE	FALSE	1	5	Sing	Plur	PP	GIVE	third	third	None
13728	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Human	TRUE	TRUE	fly	FALSE	FALSE	2	3	Sing	Plur	PP	?DRIVE	third	third	None
13867	Not Given	Given	Definite	Definite	Abstract	NotConcrete	Organization	TRUE	TRUE	award	FALSE	TRUE	10	1	Sing	Plur	DO	FUTURE HAVING	third	third	None
16725	Not Given	Given	Definite	Definite	Communication	Concrete	Human	TRUE	TRUE	show	FALSE	TRUE	24	1	Sing	Sing	DO	MESSAGE TRANSFER	first	third	None
16855	Given	Given	Indefinite	Definite	Transfer Posession	NotConcrete	Human	TRUE	TRUE	advance	FALSE	TRUE	4	2	NA	NA	PP	FUTURE HAVING	second	third	None
18416	Given	Not Given	Definite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	FALSE	FALSE	1	8	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
20693	Not Given	Not Given	Indefinite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	FALSE	FALSE	4	4	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
21969	Not Given	Not Given	Definite	Definite	Transfer Posession	Human	Organization	TRUE	TRUE	trade	FALSE	FALSE	2	4	Sing	Sing	PP	GIVE	third	third	None
22279	Not Given	Not Given	Indefinite	Indefinite	Abstract	Human	Human	TRUE	TRUE	feed	FALSE	FALSE	1	2	Plur	Plur	PP	GIVE	third	third	None
22507	Given	Not Given	Definite	Definite	Transfer Posession	NotConcrete	Organization	TRUE	TRUE	sell	TRUE	FALSE	1	3	Sing	Plur	PP	GIVE	third	third	None
25086	Not Given	Not Given	Indefinite	Indefinite	Abstract	NotConcrete	Human	TRUE	TRUE	render	FALSE	FALSE	2	2	Sing	NA	PP	GIVE	third	third	None
26994	Not Given	Given	Definite	Definite	Abstract	NotConcrete	NotConcrete	TRUE	TRUE	post	FALSE	FALSE	2	3	Sing	Sing	PP	SEND	third	third	None
27275	Not Given	Given	Definite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	ask	FALSE	TRUE	2	1	Sing	NA	DO	MESSAGE TRANSFER	second	third	None
27982	Given	Not Given	Definite	Definite	Abstract	Human	Organization	TRUE	TRUE	sign	TRUE	FALSE	1	3	Sing	Sing	PP	COMMUNICATION INSTRUMENT	third	third	None
28287	Not Given	Given	Definite	Definite	Transfer Posession	Concrete	Human	TRUE	TRUE	sneak	FALSE	TRUE	5	1	Sing	Plur	DO	SEND	third	third	None
29291	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	promise	FALSE	TRUE	22	1	Sing	Sing	DO	FUTURE HAVING	third	third	None
32575	Not Given	Given	Indefinite	Definite	Abstract	NotConcrete	Human	TRUE	TRUE	grant	FALSE	TRUE	11	1	Sing	Sing	DO	FUTURE HAVING	first	third	None
32604	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Organization	TRUE	TRUE	shoot	FALSE	TRUE	2	1	Sing	Plur	DO	THROWING	first	third	None
33205	Not Given	Given	Indefinite	Definite	Communication	NotConcrete	Human	TRUE	TRUE	teach	FALSE	FALSE	3	2	Sing	Sing	DO	MESSAGE TRANSFER	third	third	None
36285	Not Given	Not Given	Indefinite	Indefinite	Transfer Posession	Concrete	Organization	TRUE	TRUE	haul	FALSE	FALSE	4	2	Plur	Plur	PP	CARRY	third	third	None
